run_accession	fastq_ftp	sample_alias	secondary_sample_accession	experiment_alias
SRR5305590	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305590/SRR5305590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305590/SRR5305590_2.fastq.gz	GSM2516919	SRS2018283	GSM2516919
SRR5305479	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305479/SRR5305479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305479/SRR5305479_2.fastq.gz	GSM2516808	SRS2018176	GSM2516808
SRR5305486	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305486/SRR5305486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305486/SRR5305486_2.fastq.gz	GSM2516815	SRS2018184	GSM2516815
SRR5305487	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305487/SRR5305487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305487/SRR5305487_2.fastq.gz	GSM2516816	SRS2018189	GSM2516816
SRR5305488	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305488/SRR5305488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305488/SRR5305488_2.fastq.gz	GSM2516817	SRS2018183	GSM2516817
SRR5305489	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305489/SRR5305489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305489/SRR5305489_2.fastq.gz	GSM2516818	SRS2018186	GSM2516818
SRR5305494	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305494/SRR5305494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305494/SRR5305494_2.fastq.gz	GSM2516823	SRS2018190	GSM2516823
SRR5305496	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305496/SRR5305496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305496/SRR5305496_2.fastq.gz	GSM2516825	SRS2018193	GSM2516825
SRR5305498	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305498/SRR5305498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305498/SRR5305498_2.fastq.gz	GSM2516827	SRS2018195	GSM2516827
SRR5305501	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305501/SRR5305501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305501/SRR5305501_2.fastq.gz	GSM2516830	SRS2018197	GSM2516830
SRR5305504	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305504/SRR5305504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305504/SRR5305504_2.fastq.gz	GSM2516833	SRS2018203	GSM2516833
SRR5305506	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305506/SRR5305506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305506/SRR5305506_2.fastq.gz	GSM2516835	SRS2018204	GSM2516835
SRR5305507	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305507/SRR5305507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305507/SRR5305507_2.fastq.gz	GSM2516836	SRS2018202	GSM2516836
SRR5305508	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305508/SRR5305508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305508/SRR5305508_2.fastq.gz	GSM2516837	SRS2018205	GSM2516837
SRR5305511	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305511/SRR5305511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/001/SRR5305511/SRR5305511_2.fastq.gz	GSM2516840	SRS2018208	GSM2516840
SRR5305512	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305512/SRR5305512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/002/SRR5305512/SRR5305512_2.fastq.gz	GSM2516841	SRS2018209	GSM2516841
SRR5305514	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305514/SRR5305514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305514/SRR5305514_2.fastq.gz	GSM2516843	SRS2018215	GSM2516843
SRR5305516	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305516/SRR5305516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305516/SRR5305516_2.fastq.gz	GSM2516845	SRS2018212	GSM2516845
SRR5305517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305517/SRR5305517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305517/SRR5305517_2.fastq.gz	GSM2516846	SRS2018213	GSM2516846
SRR5305518	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305518/SRR5305518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305518/SRR5305518_2.fastq.gz	GSM2516847	SRS2018216	GSM2516847
SRR5305520	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305520/SRR5305520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/000/SRR5305520/SRR5305520_2.fastq.gz	GSM2516849	SRS2018220	GSM2516849
SRR5305523	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305523/SRR5305523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/003/SRR5305523/SRR5305523_2.fastq.gz	GSM2516852	SRS2018222	GSM2516852
SRR5305524	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305524/SRR5305524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/004/SRR5305524/SRR5305524_2.fastq.gz	GSM2516853	SRS2018224	GSM2516853
SRR5305526	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305526/SRR5305526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/006/SRR5305526/SRR5305526_2.fastq.gz	GSM2516855	SRS2018225	GSM2516855
SRR5305527	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305527/SRR5305527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/007/SRR5305527/SRR5305527_2.fastq.gz	GSM2516856	SRS2018221	GSM2516856
SRR5305528	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305528/SRR5305528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/008/SRR5305528/SRR5305528_2.fastq.gz	GSM2516857	SRS2018223	GSM2516857
SRR5305529	ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305529/SRR5305529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR530/009/SRR5305529/SRR5305529_2.fastq.gz	GSM2516858	SRS2018226	GSM2516858
